甲骨文,10000人以上,计算机软件,,莫女士,28-55K,大数据解决方案架构师（售前顾问）,/job_detail/acd91b32c3436dc11HR-3tm_F1c~.html,广州 天河区 珠江新城
分米互联,10000人以上,移动互联网,,黄女士,26-50K·15薪,技术主管,/job_detail/1e3f967c08dda8a11Hxy2tm4EVA~.html,广州 海珠区 南洲
酷狗音乐,1000-9999人,互联网,,张先生,25-45K·16薪,后端架构师（营收）,/job_detail/faed981ebf2f625f03R-09S-FlA~.html,广州 天河区 棠下
小鹏汽车,1000-9999人,汽车生产,,黄先生,20-40K,推荐系统高级开发工程师/资深工程师/专家,/job_detail/c4d0c6fa7c88b5971HF82di7Flo~.html,广州 天河区 岑村
Shopee,1000-9999人,电子商务,,张女士,25-50K·15薪,【深圳】后台开发工程师,/job_detail/19600a9a6a6db8e603d639i1GFA~.html,广州 海珠区 赤岗
虎牙直播,1000-9999人,互联网,,荣女士,25-50K,高级iOS开发工程师,/job_detail/e9b5a820a72ade971HB-39q9GVc~.html,广州  
酷狗音乐,1000-9999人,互联网,,杨女士,20-40K,PTBU-后端开发工程师(个性化推荐),/job_detail/b364293fa15cd08903Z_2tq-FFc~.html,广州 天河区 棠下
酷狗音乐,1000-9999人,互联网,,蒋女士,20-40K·16薪,业务安全工程师,/job_detail/30da8f00477d992303Z53Ni7FVE~.html,广州 天河区 棠下
分米互联,10000人以上,移动互联网,,黄女士,30-60K·13薪,仓储物流 高级产品经理/产品专家,/job_detail/563478cf8ea83a251H1z3di9FlA~.html,广州 海珠区 南洲
数字广东,1000-9999人,计算机软件,,刘先生,20-40K,大数据架构师,/job_detail/bd29172c3006aef41XJ43920GVo~.html,广州 天河区 猎德
阿里巴巴大文娱,1000-9999人,互联网,,陈女士,28-40K,阿里游戏－服务端开发工程专家,/job_detail/98ace248b88e19ca1HVy2dy7GFc~.html,广州 海珠区 琶洲
同盾科技,1000-9999人,互联网,,安女士,25-29K,高级项目经理,/job_detail/ade36f0b3dec26871XJ8396_FlM~.html,广州 天河区 珠江新城
Shopee,1000-9999人,电子商务,,张女士,25-50K·15薪,【深圳】前端开发工程师,/job_detail/43ac47b8306207af03Zz3tq5E1o~.html,广州 海珠区 赤岗
